0,1.6581,0.69813,-0.69813,3.5101e-22,-1.4177e-20,2.6335e-20,4.8,-4.8
0.0070711,1.6581,0.69813,-0.69813,-2.0688,3.7104,-0.096414,4.8,3.0773
0.014142,1.6434,0.72437,-0.69881,-1.5687,4.4356,-3.4283,-1.9542,-4.8
0.021213,1.6323,0.75573,-0.72306,-1.4495,5.1703,-5.2938,-0.78794,-2.2525
0.028284,1.6221,0.79229,-0.76049,-1.634,5.7751,-5.7005,0.20958,0.088785
0.035355,1.6105,0.83313,-0.8008,-1.7813,6.2961,-6.0445,0.19612,0.10507
0.042426,1.5979,0.87765,-0.84354,-1.8928,6.7378,-6.3287,0.17805,0.12567
0.049497,1.5846,0.92529,-0.88829,-1.9712,7.1075,-6.5572,0.15521,0.15092
0.056569,1.5706,0.97555,-0.93466,-2.0198,7.4134,-6.735,0.12745,0.18119
0.06364,1.5563,1.028,-0.98228,-2.0419,7.6639,-6.8667,0.094638,0.21685
0.070711,1.5419,1.0822,-1.0308,-2.0407,7.8669,-6.9566,0.056715,0.25831
0.077782,1.5275,1.1378,-1.08,-2.0192,8.0296,-7.008,0.013639,0.30598
0.084853,1.5132,1.1946,-1.1296,-1.9802,8.1584,-7.0234,-0.034585,0.36033
0.091924,1.4992,1.2523,-1.1792,-1.9263,8.2586,-7.0039,-0.087908,0.42184
0.098995,1.4856,1.3107,-1.2288,-1.8597,8.3348,-6.95,-0.14623,0.49104
0.10607,1.4724,1.3696,-1.2779,-1.7829,8.3909,-6.8609,-0.20939,0.56847
0.11314,1.4598,1.4289,-1.3264,-1.6982,8.4302,-6.7348,-0.27718,0.65472
0.12021,1.4478,1.4885,-1.374,-1.6081,8.4553,-6.5687,-0.34927,0.75036
0.12728,1.4364,1.5483,-1.4205,-1.5157,8.4684,-6.3583,-0.42526,0.85594
0.13435,1.4257,1.6082,-1.4655,-1.4241,8.4715,-6.098,-0.5046,0.97192
0.14142,1.4156,1.6681,-1.5086,-1.0594,7.8817,-5.6811,-2.7429,1.2879
0.14849,1.4082,1.7238,-1.5487,-0.49263,6.8263,-5.1512,-4.8,1.5735
0.15556,1.4047,1.7721,-1.5852,0.0099009,5.8627,-4.6279,-4.8,1.6226
0.16263,1.4047,1.8136,-1.6179,0.46416,4.9649,-4.1167,-4.8,1.6378
0.16971,1.408,1.8487,-1.647,0.8847,4.1139,-3.6283,-4.8,1.6173
0.17678,1.4143,1.8778,-1.6727,1.2863,3.2945,-3.1797,-4.8,1.5563
0.18385,1.4234,1.9011,-1.6951,1.6852,2.4942,-2.7942,-4.8,1.4466
0.19092,1.4353,1.9187,-1.7149,2.1003,1.7014,-2.5034,-4.8,1.2773
0.19799,1.4501,1.9307,-1.7326,1.8378,0.97899,-0.51276,-4.8,4.2728
0.20506,1.4631,1.9376,-1.7362,1.4302,0.28077,1.7686,-4.8,4.8
0.21213,1.4732,1.9396,-1.7237,0.99318,-0.42362,4.0825,-4.8,4.8
0.2192,1.4803,1.9366,-1.6949,0.52735,-1.1562,6.4774,-4.8,4.8
0.22627,1.484,1.9285,-1.6491,0.035902,-1.9435,9.0055,-4.8,4.8
0.23335,1.4843,1.9147,-1.5854,-0.47341,-2.8214,11.728,-4.8,4.8
0.24042,1.4809,1.8948,-1.5024,-0.98486,-3.8414,14.717,-4.8,4.8
0.24749,1.4739,1.8676,-1.3984,-1.469,-5.0796,18.067,-4.8,4.8
0.25456,1.4636,1.8317,-1.2706,-1.8725,-6.6504,21.897,-4.8,4.8
0.26163,1.4503,1.7847,-1.1158,-2.3282,-8.2136,26.188,-2.1214,4.8
0.2687,1.4339,1.7266,-0.93062,-2.7482,-9.7417,30.766,2.0567,4.8
0.27577,1.4144,1.6577,-0.71307,-2.7443,-11.756,35.533,4.8,4.8
0.28284,1.395,1.5746,-0.46182,-0.8811,-14.398,36.786,2.431,0.3457
0.28991,1.3888,1.4728,-0.2017,2.4998,-17.278,34.433,-4.8,-4.8
0.29698,1.4065,1.3506,0.04178,5.32,-18.782,30.838,-3.0581,-4.8
0.30406,1.4441,1.2178,0.25984,6.9248,-17.52,24.47,1.123,-4.8
0.31113,1.493,1.0939,0.43287,7.3086,-14.697,17.555,1.2238,-4.8
0.3182,1.5447,0.98997,0.557,6.5104,-10.094,9.8163,1.6921,-4.8
0.32527,1.5908,0.91859,0.62641,3.803,-1.2557,-1.5111,4.8,-4.8
0.33234,1.6176,0.90971,0.61572,0.35046,9.0795,-13.667,4.8,-4.8
0.33941,1.6201,0.97391,0.51908,-2.639,18.867,-25.854,4.8,-4.8
0.34648,1.6015,1.1073,0.33627,-1.8017,18.754,-27.391,4.1489,1.6562
0.35355,1.5887,1.2399,0.14259,-1.8731,23.865,-37.559,4.8,-4.7999
