0,-0.144,-0.0096,0.2159,0.099898,0.026193,0.099898,0.054912,0.011687,0.026193,0.011687,0.0044686,1.628,1.2137,0.044798
0.0070711,-0.144,-0.0096,0.2159,0.099898,0.026193,0.099898,0.054912,0.011687,0.026193,0.011687,0.0044686,1.628,1.2137,0.044798
0.014142,-0.144,-0.0096,0.2159,0.099898,0.026193,0.099898,0.054912,0.011687,0.026193,0.011687,0.0044686,1.6305,1.2132,0.045634
0.021213,-0.144,-0.0096,0.21569,0.099749,0.026152,0.099749,0.054829,0.011646,0.026152,0.011646,0.0044686,1.6386,1.2131,0.046395
0.028284,-0.144,-0.0096,0.21526,0.099451,0.026068,0.099451,0.054664,0.011563,0.026068,0.011563,0.0044686,1.6522,1.2132,0.047122
0.035355,-0.144,-0.0096,0.2146,0.098999,0.025941,0.098999,0.054413,0.011437,0.025941,0.011437,0.0044686,1.6712,1.2135,0.047876
0.042426,-0.144,-0.0096,0.21373,0.09839,0.025768,0.09839,0.054073,0.011267,0.025768,0.011267,0.0044686,1.695,1.2139,0.048734
0.049497,-0.144,-0.0096,0.21261,0.097618,0.025545,0.097618,0.05364,0.011051,0.025545,0.011051,0.0044686,1.7233,1.2143,0.049778
0.056569,-0.144,-0.0096,0.21126,0.096678,0.025269,0.096678,0.053111,0.010786,0.025269,0.010786,0.0044686,1.7554,1.2144,0.051081
0.06364,-0.144,-0.0096,0.20967,0.095564,0.024936,0.095564,0.05248,0.010471,0.024936,0.010471,0.0044686,1.7909,1.2143,0.052701
0.070711,-0.144,-0.0096,0.20781,0.09427,0.024542,0.09427,0.051744,0.010103,0.024542,0.010103,0.0044686,1.8294,1.2139,0.05467
0.077782,-0.144,-0.0096,0.2057,0.092791,0.024082,0.092791,0.0509,0.0096807,0.024082,0.0096807,0.0044686,1.8703,1.2134,0.056992
0.084853,-0.144,-0.0096,0.20332,0.091125,0.023554,0.091125,0.049944,0.0092029,0.023554,0.0092029,0.0044686,1.9136,1.2128,0.059646
0.091924,-0.144,-0.0096,0.20068,0.089268,0.022955,0.089268,0.048876,0.008669,0.022955,0.008669,0.0044686,1.9593,1.2125,0.062589
0.098995,-0.144,-0.0096,0.19776,0.08722,0.022282,0.08722,0.047697,0.0080792,0.022282,0.0080792,0.0044686,2.0079,1.213,0.065762
0.10607,-0.144,-0.0096,0.19458,0.084983,0.021534,0.084983,0.046407,0.0074345,0.021534,0.0074345,0.0044686,2.0599,1.2147,0.06911
